back_office,channel,client_id,counter_type,date,inaccurate_time,no_wait_visit,office_id,office_name,program_id,service_count,status,welcome_time,latest_time,service_creation_duration_outlie,waiting_duration_outlier,prep_duration_outlier,serve_duration_outlier,hold_duration_outlier,serve_duration_per_service,serve_duration_per_visit,prep_duration_per_service,prep_duration_per_visit,waiting_duration_per_service,waiting_duration_per_visit,hold_duration_per_service,hold_duration_per_visit,visits_count,services_count,transactions_count,DateEntered,service_creation_duration_per_vi
Back Office,back-office,4736921,Counter,28SEP2020:00:00:00.000,No,Yes,94,Victoria,Back Office - 002,1,Finished,28SEP2020:09:05:40.000,28SEP2020:09:21:48.000,No,No,No,No,No,0.0111304047,0.0111304047,,,,,,,1,1,1,05MAR2021:14:30:37.450,0.0000725926
Back Office,back-office,8868074,Counter,04JAN2022:00:00:00.000,No,Yes,13,Dease Lake,ID Verification - 010,1,Finished,04JAN2022:10:29:55.000,04JAN2022:10:33:48.000,No,No,No,No,No,0.0026386343,0.0026386343,,,,,,,1,1,1,05JAN2022:02:00:13.810,0.0000558449
Front Office,in-person,2149644,,14MAY2019:00:00:00.000,No,No,17,Cranbrook,F&W - 004,1,Finished,14MAY2019:11:48:49.000,14MAY2019:12:13:47.000,No,No,No,No,No,0.0131138312,0.0131138312,0.000011412,0.000011412,0.00405706,0.00405706,,,1,1,1,05MAR2021:14:29:41.823,0.0001653588
Front Office,in-person,9522459,Counter,12APR2022:00:00:00.000,No,Yes,112,Send Video2,Other - 044,1,Finished,12APR2022:10:35:02.000,12APR2022:10:38:29.000,No,No,No,No,No,0.0023949768,0.0023949768,,,,,,,1,1,1,13APR2022:04:30:17.100,3.6458339E-6
Back Office,back-office,4747084,Counter,29SEP2020:00:00:00.000,No,Yes,73,Queen Charlotte City,Back Office - 004,1,Finished,29SEP2020:10:21:11.000,29SEP2020:10:24:04.000,No,No,No,No,No,0.0019444445,0.0019444445,,,,,,,1,1,1,05MAR2021:14:30:37.730,0.0000673611
Front Office,in-person,1625432,,26MAR2019:00:00:00.000,No,No,31,Fort St. John,SDPR - POC - 001,1,Finished,26MAR2019:15:01:02.000,26MAR2019:16:11:39.000,No,No,No,No,No,0.0222371649,0.0222371649,0.0000266204,0.0000266204,0.0265521072,0.0265521072,,,1,1,1,05MAR2021:14:29:37.323,0.00021875
Front Office,in-person,1220074,,11FEB2019:00:00:00.000,No,Yes,67,Powell River,SDPR - POC - 008,1,Finished,11FEB2019:15:23:16.000,11FEB2019:15:35:49.000,No,No,No,No,No,0.0086069908,0.0086069908,,,,,,,1,1,1,05MAR2021:14:29:33.590,0.0001103356
Back Office,back-office,5281500,Counter,22DEC2020:00:00:00.000,No,Yes,112,Send Video2,ID Verification - 010,1,Finished,22DEC2020:08:58:10.000,22DEC2020:08:59:41.000,No,No,No,No,No,0.001021632,0.001021632,,,,,,,1,1,1,05MAR2021:14:31:03.410,0.0000336343
Back Office,back-office,5117850,Counter,30NOV2020:00:00:00.000,No,Yes,111,Victoria,ID Verification - 010,1,Finished,30NOV2020:09:16:33.000,30NOV2020:09:18:25.000,No,No,No,No,No,0.0011485532,0.0011485532,,,,,,,1,1,1,05MAR2021:14:30:50.080,0.0001475579
Front Office,in-person,8569452,Counter,22NOV2021:00:00:00.000,No,Yes,55,Nanaimo,VSTATS - 003,1,Finished,22NOV2021:15:09:56.000,22NOV2021:15:29:31.000,No,No,No,No,No,0.013547847,0.013547847,,,,,,,1,1,1,23NOV2021:02:00:13.170,0.0000556829
